neurons,fold,accuracy,precision,recall,f1,confusion_matrix
5,1,0.76,0.6635,0.76,0.691864489,"[[13  0  0  0  0]
 [ 0  7  0  0  0]
 [ 0  1  9  0  0]
 [ 0  0  0  0 11]
 [ 0  0  0  0  9]]"
10,1,0.74,0.647666667,0.74,0.671875653,"[[11  0  2  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0  0 11]
 [ 0  0  0  0  9]]"
15,1,0.9,0.921666667,0.9,0.899700387,"[[11  0  2  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0  8  3]
 [ 0  0  0  0  9]]"
20,1,0.84,0.915294118,0.84,0.818901099,"[[13  0  0  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0  3  8]
 [ 0  0  0  0  9]]"
5,2,0.88,0.892380952,0.88,0.877642358,"[[ 6  0  2  0  0]
 [ 0 10  0  0  0]
 [ 0  2 10  0  0]
 [ 0  0  0  6  2]
 [ 0  0  0  0 12]]"
10,2,0.82,0.725818182,0.82,0.760041408,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1 11  0  0]
 [ 0  0  0  0  8]
 [ 0  0  0  0 12]]"
15,2,0.94,0.948205128,0.94,0.939733333,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  2 10  0  0]
 [ 0  0  0  7  1]
 [ 0  0  0  0 12]]"
20,2,0.9,0.929411765,0.9,0.885893417,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0  3  5]
 [ 0  0  0  0 12]]"
5,3,0.96,0.97,0.96,0.960857143,"[[10  0  0  0  0]
 [ 0 11  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0  9  2]
 [ 0  0  0  0  6]]"
10,3,0.78,0.702352941,0.78,0.722608696,"[[10  0  0  0  0]
 [ 0 11  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0  0 11]
 [ 0  0  0  0  6]]"
15,3,0.98,0.981666667,0.98,0.979525692,"[[10  0  0  0  0]
 [ 0 11  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0 11  0]
 [ 0  0  0  1  5]]"
20,3,0.98,0.981818182,0.98,0.980041408,"[[10  0  0  0  0]
 [ 0 11  0  0  0]
 [ 1  0 11  0  0]
 [ 0  0  0 11  0]
 [ 0  0  0  0  6]]"
5,4,0.92,0.926666667,0.92,0.918484848,"[[13  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  2  5  0  0]
 [ 0  0  0  9  1]
 [ 0  0  0  1  9]]"
10,4,0.94,0.949166667,0.94,0.93973631,"[[13  0  0  0  0]
 [ 0  9  1  0  0]
 [ 0  0  7  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  2  8]]"
15,4,0.78,0.6825,0.78,0.713473684,"[[13  0  0  0  0]
 [ 0  9  1  0  0]
 [ 0  0  7  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0 10  0]]"
20,4,0.94,0.948484848,0.94,0.939302919,"[[13  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1  6  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  2  8]]"
5,5,0.92,0.923,0.92,0.918412698,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0  7  3]
 [ 0  0  0  1 12]]"
10,5,0.9,0.921118881,0.9,0.900656126,"[[ 5  0  1  0  0]
 [ 0 11  1  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  3 10]]"
15,5,0.94,0.942,0.94,0.939617225,"[[ 5  0  1  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0  9  1]
 [ 0  0  0  1 12]]"
20,5,0.92,0.942857143,0.92,0.919393939,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  4  9]]"
,,average,average ,average,average,
5,,0.888,0.8751,0.888,0.8735,
10,,0.836,0.7892,0.836,0.799,
15,,0.908,0.8952,0.908,0.8944,
20,,0.916,0.9436,0.916,0.9087,
